Ref,Mid X,Mid Y,Side,Rotation
C1,131.5,-59.5,top,90
C2,133.75,-59.5,top,90
C3,147,-91.75,top,0
C4,133.75,-63,top,-90
C5,132.75,-72.75,top,180
C6,132.75,-77.25,top,180
C7,135.55,-101.425,top,0
C8,132.25,-103.75,top,0
C9,128.774964,-72.1,top,0
C10,132.75,-88.25,top,90
C11,157.224964,-88.475,top,90
C12,160.724964,-72,top,180
C13,132.25,-105.75,top,0
C14,136.75,-80.5,top,90
C15,139,-80.5,top,90
C16,148.25,-88.25,top,90
C17,143.05,-92.25,top,180
D1,128.874964,-69.85,top,0
D2,127.75,-98,top,-90
D3,130.5,-88.25,top,90
D4,159.474964,-88.325,top,90
D5,160.624964,-69.75,top,180
J2,144,-95.45,top,0
J3,158.5,-92.75,top,-90
J8,158.55,-96.5,top,-90
J9,145,-103.75,top,0
Q1,130.662464,-66,top,180
Q2,139.25,-96.75,top,90
Q3,128.9375,-84,top,180
Q4,161.037464,-83.975,top,0
Q5,158.787464,-66,top,0
R1,131,-63.25,top,0
R2,132.224964,-69.75,top,-90
R3,154.4125,-101.425,top,180
R4,132,-84.1625,top,90
R5,157.974964,-84.1375,top,-90
R6,157.224964,-69.75,top,-90
R7,138.5,-100.75,top,-90
R8,151.5,-100.75,top,-90
SW1,136.5,-104.975,top,180
SW2,153.5,-104.975,top,0
U1,145,-64.19,top,0
U3,147.25,-81.75,top,90
U4,145,-88.25,top,0
U5,139,-86.75,top,-90
U6,133.75,-96,top,90
