Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C5, C6",0805,4,22uF,
"C10, C11, C12, C4, C9",0805,5,1uF,
"C14, C15, C20, C21, C8",0805,5,10uF,
"C16, C17, C3, C7",0805,4,0.1uF,
"C18, C19",0805,2,12pF,
C2,0805,1,100nF,
"D1, D3, D4, D5",D_SOD-123,4,1N4148W,
D2,D_SMA,1,SS34,
D6,0805,1,LED,
"J1, J4, J5, J6",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,4,MOTOR,
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,BATT,
J7,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Top_Bottom,
J9,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"Q1, Q3, Q4, Q5",SOT-23,4,AO3400A,
Q2,SOT-23,1,AO3401A,
"R1, R10, R2, R3, R4, R5, R6, R9",0805,8,10K,
"R7, R8",0805,2,5.1K,
SW1,SW_SPST_B3U-1000P,1,RST,
SW2,SW_SPST_B3U-1000P,1,BOOT,
U1,TSSOP-8_3x3mm_P0.65mm,1,TXB0102DCT,
U2,ESP32-S2-MINI-1U,1,ESP32-S3-MINI-1U,
U4,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,
U5,SOT-223-3_TabPin2,1,AMS1117-1.8,
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,
X1,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
